Percentage,Top 5%,Top 6-10%,Top 11-20%,Remaining 80%,#https://grattan.edu.au/report/a-better-bet-how-australia-should-prevent-gambling-harm/
Proportion of customers,5,5,1,80,
Proportion of gambling spending,77.0124312,9.0890564,6.7658447,7.1326676,
